(10, 87)
(67, 93)
(9, 146)
(54, 144)
(108, 100)
(156, 96)
(208, 104)
(244, 73)
(319, 48)
(408, 35)
(350, 114)
(375, 66)
(112, 148)
(159, 148)
(118, 188)
(168, 188)
(200, 154)
(235, 156)
(204, 195)
(240, 196)
(290, 157)
(337, 181)
(275, 212)
(322, 217)
(113, 247)
(153, 244)
(123, 283)
(153, 285)
(224, 265)
(275, 269)
(201, 302)
(253, 311)
(145, 340)
(162, 376)
(205, 381)
(159, 411)
(219, 431)
(283, 428)
(215, 462)
(259, 414)
(172, 491)
(186, 533)
(229, 540)
(264, 556)
(262, 504)
(368, 499)
(312, 545)
(351, 578)
(251, 606)
(292, 639)
(230, 672)
(286, 686)
(472, 432)
(454, 508)
(520, 472)
(528, 534)
(572, 426)
(607, 427)
(565, 461)
(613, 461)
(613, 507)
(652, 533)
(677, 563)
(659, 597)
(587, 566)
(612, 583)
(560, 591)
(596, 606)
(571, 672)
(620, 677)
(573, 725)
(618, 722)
(754, 667)
(755, 705)
(755, 734)
(722, 754)
(530, 95)
(577, 98)
(526, 137)
(575, 128)
(633, 174)
(685, 165)
(623, 225)
(666, 224)
(410, 206)
(455, 205)
(411, 259)
(454, 259)
(537, 241)
(569, 242)
(522, 277)
(563, 274)
(529, 326)
(578, 324)
(534, 355)
(567, 351)
(460, 316)
(491, 308)
(441, 360)
(480, 364)
(441, 121)
(483, 114)
(449, 156)
(481, 152)
(932, 690)
(976, 687)
(935, 725)
(979, 724)
(1015, 647)
(1058, 646)
(1054, 715)
(1088, 712)
(1009, 535)
(1057, 528)
(1018, 569)
(1054, 564)
(876, 569)
(923, 566)
(880, 619)
(926, 615)
(883, 434)
(921, 434)
(874, 469)
(923, 466)
(779, 390)
(822, 390)
(798, 436)
(837, 437)
(830, 315)
(891, 321)
(854, 362)
(914, 364)
(878, 253)
(932, 249)
(896, 284)
(943, 284)
(1034, 222)
(1034, 253)
(1032, 289)
(1010, 317)
(895, 159)
(867, 201)
(922, 180)
(897, 207)
(902, 61)
(943, 61)
(891, 103)
(921, 94)
(989, 70)
(1047, 68)
(986, 112)
(1046, 118)
(794, 60)
(843, 64)
(809, 124)
(848, 123)
(723, 276)
(770, 275)
(729, 320)
(767, 319)
(759, 121)
(749, 157)
(777, 188)
(772, 225)
(662, 379)
(711, 379)
(658, 426)
(696, 425)
